english;spanish
A tad;Un poco
Action stations;A trabajar, manos a la obra
Scowl;Ceño fruncido
To flaunt;Hacer alarde
Stool;Taburete
Advent;Llegada
To wring something out;Exprimir algo
To smirk;Sonreír con aire burlón
Guffaw;Carcajada
Lumber;Leña
Riveting;Fascinante
Getup;Atuendo
To drool over someone;Babear por alguien
Groin;Ingle
Saunter;Paseo
Flock of birds;Bandada de pájaros
Swig;Trago, sorbo
Ember;Brasa
Skewer;Brocheta, pincho moruno
To staunch;Detener
To scour;Rastrear, recorrer
To lob;Lanzar
Lulled;Adormecido
To make a run for it;Salir corriendo
Rodent;Roedor
Stubble;Barba incipiente
To gnaw;Roer
Dreg;Poso, sedimento
Bun;Bollo
To jolt;Sacudir
To stash;Esconder
Ordeal;Calvario, mala experiencia
To grow weary;Cansarse
Noose;Soga, lazo
Frail;Frágil
Shaft of light;Rayo de luz
To subdue;Someter
Crutch;Muleta
Tore ;Esguince
To humor;Complacer
Loathing;Repugnancia, aversión
Trill;Trino
Sheer numbers;Elevado número
Fluke;Suerte
Quaver in the voice;Temblor en la voz
To throb;Latir
Feeble;Débil
Advocate;Defensor
Hearth;Chimenea
To poach;Cazar furtivamente
Ajar;Entreabierto
Allegedly ;Presuntamente
Antler;Cornamenta
Astray;Extraviado
Longing;Anhelo
At bay;Acorralado
At stake;En juego
Attire;Atuendo
Awe;Asombro
Awl;Punzón 
Backlash;Reacción, respuesta
Badge;Insignia, carnet
Bail;Fianza (libertad bajo fianza)
Bankrolled;Financiado
Barbell;Barra con pesas
Bark;Corteza ( To bark = ladrar)
Basin;Cuenca
Beacon;Faro, guía, baliza
Bearish;Bajista (en bolsa)
Behemoth;Gigante
Bewildered;Desconcertado
Blight;Plaga
Bloom;Floración
Blueprint;Proyecto base/ original
Boar;Jabalí
Boisterous;Bullicioso
Bolt;Tornillo
Bow;Proa
Braid;Trenza
Brash;Temerario, impetuoso
Brass;Latón, viento metal (orquesta)
Brawl;Pelea
Bribe;Soborno
Brig;Barco pirata (bergantín)
Brisk;Enérgico, rápido
Bristling;Erizado
Bullish;Alcista
Bulls-eye;Diana
Butcher;Carnicero
Cagey;Cauteloso
Calf;Pantorrilla
Canopy ;Toldo estilo tienda de campaña
Carnage;Carnicería, matanza
Cattle;Ganado
Chartreuse;Monasterio
Chicken coop;Gallinero
Cinder;Ceniza
Clamp;Pinza
Cleat;Taco (en zapatillas deportivas)
Cleavage;Escote, escisión 
Cloak;Capa
Clunk;Ruido sordo
Clutch;Embrague
Clutter;Desorden
Cluttering;Abarrotado
Cocky;Arrogante, fanfarrón
Cocoon;Capullo
